,Player,Total
336,Jordan McLaughlin,881
496,Denzel Valentine,874
462,Ish Smith,874
134,PJ Dozier,870
96,Willie Cauley-Stein,870
61,Tony Bradley,860
20,Deni Avdija,859
379,Josh Okogie,857
219,Solomon Hill,856
532,James Wiseman,843
500,Devin Vassell,838
40,DeAndre' Bembry,827
34,Aron Baynes,825
283,Jeremy Lamb,821
446,Dario Šarić,821
111,Torrey Craig,817
509,Brad Wanamaker,817
157,Malachi Flynn,804
415,Taurean Prince,798
437,Rajon Rondo,784
144,Wayne Ellington,784
349,Malik Monk,780
259,Stanley Johnson,778
146,James Ennis,777
473,Jeff Teague,776
408,Kevin Porter Jr.,774
290,Saben Lee,770
405,Aleksej Pokusevski,770
270,Frank Kaminsky,765
330,Jalen McDaniels,762
522,Grant Williams,756
295,Kira Lewis Jr.,753
42,Patrick Beverley,751
81,Trey Burke,744
519,Hassan Whiteside,739
253,Ty Jerome,736
46,Goga Bitadze,733
209,Isaiah Hartenstein,730
214,Juan Hernangómez,724
0,Precious Achiuwa,715
492,P.J. Tucker,714
18,Trevor Ariza,714
470,Edmond Sumner,713
197,R.J. Hampton,713
304,Timothé Luwawu-Cabarrot,706
4,LaMarcus Aldridge,702
102,Nicolas Claxton,696
181,Eric Gordon,695
203,Gary Harris,691
368,Jaylen Nowell,686
316,Cody Martin,684
380,Onyeka Okongwu,677
505,Moritz Wagner,667
126,Gorgui Dieng,666
94,Michael Carter-Williams,664
373,David Nwaba,656
230,Danuel House,655
321,Garrison Mathews,655
323,Wesley Matthews,654
315,Caleb Martin,644
512,Yuta Watanabe,644
92,Jevon Carter,636
235,De'Andre Hunter,636
302,Kevin Love,632
337,Ben McLemore,631
464,Tony Snell,618
391,Eric Paschall,618
359,Mike Muscala,616
314,Naji Marshall,615
429,Austin Rivers,602
410,Otto Porter,593
244,Frank Jackson,581
277,John Konchar,577
487,Obi Toppin,575
356,Mychal Mulder,571
131,Damyean Dotson,563
67,Oshae Brissett,558
218,George Hill,548
48,Nemanja Bjelica,545
376,Semi Ojeleye,545
133,Sekou Doumbouya,544
421,Cam Reddish,535
262,Damian Jones,528
449,Mike Scott,528
200,Maurice Harkless,526
286,Jake Layman,517
419,Chasson Randle,500
341,Chimezie Metu,499
422,J.J. Redick,489
227,Rodney Hood,488
363,Aaron Nesmith,481
297,Nassir Little,470
212,Killian Hayes,467
13,Thanasis Antetokounmpo,458
461,Dennis Smith Jr.,454
179,Brandon Goodwin,453
501,Gabe Vincent,452
247,Justin Jackson,433
393,Patrick Patterson,430
529,Dylan Windler,418
528,D.J. Wilson,415
260,Tyler Johnson,415
69,Armoni Brooks,404
469,Max Strus,391
467,Lamar Stevens,387
338,Nicolò Melli,385
530,Justise Winslow,381
187,Javonte Green,379
113,Jarrett Culver,378
177,Freddie Gillespie,370
279,Luke Kornet,364
76,Troy Brown Jr.,362
174,Harry Giles,358
60,Avery Bradley,357
312,Boban Marjanović,355
99,Gary Clark,352
318,Kelan Martin,344
245,Jaren Jackson Jr.,342
17,Ryan Arcidiacono,335
9,Al-Farouq Aminu,333
118,Ed Davis,333
252,DaQuan Jeffries,332
108,Tyler Cook,329
168,Langston Galloway,317
361,Abdel Nader,312
386,Miye Oni,312
276,Kevin Knox,310
374,Jordan Nwora,309
79,Thomas Bryant,306
121,Dewayne Dedmon,306
350,E'Twaun Moore,304
311,Nico Mannion,302
189,Josh Green,290
366,Zeke Nnaji,286
377,Jahlil Okafor,281
282,Anthony Lamb,276
325,Skylar Mays,276
221,Jaylen Hoard,275
255,Alize Johnson,274
477,Brodric Thomas,273
254,Isaiah Joe,273
423,Paul Reed,273
445,JaKarr Sampson,272
264,Mason Jones,269
513,Tremont Waters,257
305,Trey Lyles,256
275,Nathan Knight,254
382,KZ Okpala,254
394,Justin Patton,253
444,Luka Šamanić,248
97,Chris Chiozza,248
103,Amir Coffey,247
243,Wesley Iwundu,244
159,Trent Forrest,241
269,Mfiondu Kabengele,241
335,Alfonzo McKinnie,239
56,Isaac Bonga,233
514,Paul Watson,233
236,Chandler Hutchison,232
195,Donta Hall,229
249,Justin James,228
369,Frank Ntilikina,222
432,Glenn Robinson III,222
207,Shaquille Harrison,217
480,Matt Thomas,214
176,Anthony Gill,213
479,Khyri Thomas,212
251,Mike James,212
400,Reggie Perry,211
343,Darius Miller,210
265,Tre Jones,204
120,Gabriel Deck,203
164,Markelle Fultz,203
32,Keita Bates-Diop,202
165,Wenyen Gabriel,201
88,Vlatko Čančar,198
141,Carsen Edwards,197
340,Sam Merrill,196
149,Tacko Fall,196
334,Rodney McGruder,188
63,Ignas Brazdeikis,179
433,Jerome Robinson,177
191,Kyle Guy,172
204,Jalen Harris,170
122,Matthew Dellavedova,166
62,Jarrell Brantley,160
388,Daniel Oturu,159
390,Jabari Parker,154
239,Ersan İlyasova,151
154,Yogi Ferrell,148
142,CJ Elleby,144
484,Killian Tillie,140
124,Mamadi Diakite,138
284,Romeo Langford,138
482,Sindarius Thornwell,137
232,Markus Howard,137
107,Quinn Cook,137
153,Bruno Fernando,136
53,Bol Bol,129
55,Jordan Bone,124
273,Louis King,121
196,Josh Hall,120
463,Jalen Smith,111
85,Devontae Cacok,110
384,Cameron Oliver,103
225,Rondae Hollis-Jefferson,103
280,Rodions Kurucs,100
352,Juwan Morgan,100
91,Vernon Carey Jr.,96
162,Robert Franks,95
515,Quinndary Weatherspoon,91
322,Dakota Mathias,90
510,T.J. Warren,89
455,Chris Silva,87
307,Thon Maker,83
220,Nate Hinton,82
332,Sean McDermott,82
399,Norvel Pelle,82
151,Cristiano Felício,79
531,Cassius Winston,78
72,Charlie Brown,77
459,Alen Smailagić,75
418,Jahmi'us Ramsey,75
39,Jordan Bell,75
398,Gary Payton II,74
458,Deividas Sirvydis,73
148,Dante Exum,73
132,Devon Dotson,62
466,Cassius Stanley,60
89,Devin Cannady,60
493,Rayjon Tucker,55
127,Spencer Dinwiddie,51
434,Justin Robinson,50
450,Jay Scrubb,49
320,Frank Mason III,48
407,Jontay Porter,46
234,Elijah Hughes,46
534,Robert Woodard,46
489,Axel Toupane,44
22,Udoka Azubuike,44
137,Jared Dudley,42
486,Anthony Tolliver,42
499,Anderson Varejão,40
44,Tyler Bey,40
66,Amida Brimah,39
317,Jeremiah Martin,39
430,Andre Roberson,38
475,Tyrell Terry,37
143,Henry Ellenson,37
163,Tim Frazier,34
84,Bruno Caboclo,34
428,Grant Riller,33
98,Marquese Chriss,32
309,Karim Mané,29
12,Kostas Antetokounmpo,28
348,Adam Mokoka,28
371,James Nunnally,28
287,T.J. Leaf,27
5,Ty-Shon Alexander,26
404,Vincent Poirier,26
78,Elijah Bryant,26
326,Patrick McCaw,26
54,Marques Bolden,24
478,Isaiah Thomas,24
50,Keljin Blevins,23
425,Cameron Reynolds,23
426,Nick Richards,23
293,Meyers Leonard,18
301,Didi Louzada,15
116,Nate Darling,14
138,Kris Dunn,14
465,Ray Spalding,10
288,Jalen Lecque,9
210,Udonis Haslem,7
156,Malik Fitts,6
59,Brian Bowen,4
453,Iman Shumpert,4
1,Jaylen Adams,3
401,Theo Pinson,0
193,Ashton Hagans,-2
152,Terrance Ferguson,-2
306,Will Magnay,-3
520,Greg Whittington,-3
502,Noah Vonleh,-4
201,Jared Harper,-4
392,Anžejs Pasečņiks,-7
